f_es,T_es,chisquared
0.001873817422860383,0.18586515949182233,7199.54627557314
0.002364489412645407,0.18586515949182233,7173.442142093742
0.0029836472402833404,0.18586515949182233,7150.985202517262
0.0037649358067924636,0.18586515949182233,7133.056912043397
0.004750810162102793,0.18586515949182233,7119.29144985184
0.005994842503189409,0.18586515949182233,7109.0600759443605
0.007564633275546291,0.18586515949182233,7102.3745414696805
0.009545484566618327,0.18586515949182233,7099.435034602863
0.012045035402587835,0.18586515949182233,7100.196320388397
0.01519911082952933,0.18586515949182233,7104.882258276488
0.019179102616724848,0.18586515949182233,7113.63866473077
0.024201282647943835,0.18586515949182233,7126.542380340471
0.030538555088334123,0.18586515949182233,7143.684533936569
0.038535285937105354,0.18586515949182233,7165.245837327954
0.04862601580065353,0.18586515949182233,7189.833820456963
0.06135907273413163,0.18586515949182233,7217.595537822362
0.07742636826811278,0.18586515949182233,7250.131376037217
0.09770099572992247,0.18586515949182233,7287.585785723367
0.12328467394420634,0.18586515949182233,7330.0478588542655
0.15556761439304723,0.18586515949182233,7377.565965554175
0.19630406500402683,0.18586515949182233,7430.228146856406
0.2477076355991714,0.18586515949182233,7488.065488869504
0.31257158496882353,0.18586515949182233,7551.074707154281
0.39442060594376477,0.18586515949182233,7624.6617465915215
0.49770235643321137,0.18586515949182233,7713.182534420356
0.6280291441834247,0.18586515949182233,7802.411159035089
0.7924828983539186,0.18586515949182233,7891.848509624243
1.0,0.18586515949182233,7980.989010369993
1e-10,0.1958747788123356,47915.46686048908
1.2618568830660183e-10,0.1958747788123356,47912.46408202287
1.592282793341094e-10,0.1958747788123356,47929.122519555465
2.0092330025650458e-10,0.1958747788123356,47953.73091267136
2.5353644939701164e-10,0.1958747788123356,47980.35007871948
3.1992671377973845e-10,0.1958747788123356,48005.87295488352
4.03701725859655e-10,0.1958747788123356,48028.65797594863
5.094138014816385e-10,0.1958747788123356,48047.85072706011
6.428073117284319e-10,0.1958747788123356,48063.027039516746
8.111308307896856e-10,0.1958747788123356,48074.00193751171
1.0235310218990269e-09,0.1958747788123356,48080.72403097724
1.2915496650148826e-09,0.1958747788123356,48083.20762284921
1.6297508346206469e-09,0.1958747788123356,29240.71126983418
2.0565123083486515e-09,0.1958747788123356,29181.33851516158
2.595024211399732e-09,0.1958747788123356,29409.655847015954
3.2745491628777316e-09,0.1958747788123356,29797.314725674987
4.132012400115335e-09,0.1958747788123356,30267.6190519592
5.214008287999674e-09,0.1958747788123356,30774.48207846056
6.579332246575682e-09,0.1958747788123356,31290.14141156188
8.302175681319736e-09,0.1958747788123356,31797.95532099132
